jobId,moUserId,moduleCode,moduleName,jobTitle,description,requiredSkills,vacancies,deadline,workingPeriod,keyDuties,eligibility,status,createdDate

J001,U002,"EBU6304","EBU6304 Software Engineering","Teaching Assistant - Software Engineering","Assist with lab sessions and marking","Java programming; Git experience",2,2026-04-30,"Spring 2026","Support lab sessions and marking","Open to students with solid Java and teamwork skills",OPEN,2026-03-20
J002,U002,"EBU5476","EBU5476 Computer Networks","Teaching Assistant - Computer Networks","Help with tutorials and invigilation","Networking knowledge; Good communication",1,2026-04-15,"Spring 2026","Support tutorials and invigilation","Open to students with networking background and communication skills",OPEN,2026-03-20
J003,U002,"EBU6305","EBU6305 Data Mining","Teaching Assistant - Data Mining","Support practical sessions on data analysis","Python; Machine learning basics",3,2026-05-10,"Spring 2026","Support practical data analysis sessions","Open to students familiar with Python and machine learning basics",OPEN,2026-03-25
J004,U005,"EBU5302","EBU5302 Operating Systems","Teaching Assistant - Operating Systems","Lab assistance and exam invigilation","C programming; Linux experience",2,2026-04-20,"Spring 2026","Assist labs and invigilation","Open to students with C and Linux experience",OPEN,2026-03-22
J005,U002,"EBU6303","EBU6303 Internet of Things","Teaching Assistant - Internet of Things","Assist with IoT lab setup and demos","Arduino; Raspberry Pi; Sensor networks",1,2026-03-15,"Spring 2026","Assist IoT lab setup and demos","Open to students with hands-on IoT experience",CLOSED,2026-02-20

J002,U002,"","EBU5476 Computer Networks","","Help with tutorials and invigilation","Networking knowledge; Good communication",1,2026-04-15,"","","",CLOSED,2026-03-20
J003,U002,"1","Test","Test","1","1",1,2026-04-08,"1","1","1",CLOSED,2026-04-08
J004,U004,"TEST01","Computer Vision","TA-CV","this a test","whatever",2,2026-05-17,"4 months","whatever","whatever",OPEN,2026-05-09
J005,U004,"CS301","CS","TA-CS","job","whatever",3,2026-05-21,"3months","whatever","whatever",OPEN,2026-05-09
J006,U004,"EBU001","Advanced Mathematics","TA-AM","maths","good at maths",4,2026-05-31,"2 months","reviewing homework","whatever",OPEN,2026-05-09
J007,U004,"111","111","111","111","1",1,2026-05-29,"11","1","1",OPEN,2026-05-09
J008,U004,"222","222","2","2","2",2,2026-05-26,"2","2","2",OPEN,2026-05-09
J009,U007,"VT001","Validator Test Module","BellColor-1778421726548","Test job description.","Java",2,2026-06-09,"Autumn 2026","Grading and tutoring.","Year 2+",OPEN,2026-05-10
J010,U007,"VT001","Validator Test Module","ColorTest-1778421727646","Test job description.","Java",2,2026-06-09,"Autumn 2026","Grading and tutoring.","Year 2+",OPEN,2026-05-10
J011,U007,"VT001","Validator Test Module","VT-Job-1778421727751","Test job description.","Java",2,2026-06-09,"Autumn 2026","Grading and tutoring.","Year 2+",OPEN,2026-05-10
J012,U011,"VT001","Validator Test Module","BellColor-1778421989345","Test job description.","Java",2,2026-06-09,"Autumn 2026","Grading and tutoring.","Year 2+",OPEN,2026-05-10
J013,U011,"VT001","Validator Test Module","ColorTest-1778421990158","Test job description.","Java",2,2026-06-09,"Autumn 2026","Grading and tutoring.","Year 2+",OPEN,2026-05-10
J014,U011,"VT001","Validator Test Module","VT-Job-1778421990271","Test job description.","Java",2,2026-06-09,"Autumn 2026","Grading and tutoring.","Year 2+",OPEN,2026-05-10
J015,U002,"1223","Testaa","Test222","11","11",1,2026-05-29,"1","23","11",OPEN,2026-05-10
J016,U002,"122322","Testaa11","Test22222","3434","1",1,2026-05-29,"1","a","q",OPEN,2026-05-10

